index,MGHCC1573,MGHCC1006,MGHCC0007,MGHCC0001-B,MGHCC1002,MGHCC1101,MGHCC0001-A,MGHCC1009,MGHCC1099,MGHCC1108,MGHCC1112,MGHCC0002
BOK,0.783342,0.315946,2.422552,1.386779,1.142778,0.681148,1.306524,0.746447,0.42032,0.973104,0.142653,0.400787
BOK-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOLA1,1.724679,2.92703,5.682196,0.822365,1.752419,0.894937,0.665423,1.318295,0.724247,1.784646,2.21291,5.075795
BOLA2,4.890288,0.0,0.0,0.0,2.671415,1.131785,5.102855,0.0,0.527381,0.746581,0.0,0.0
BOLA2-SMG1P6,41.91218,32.700696,160.335556,37.895826,15.515816,57.440104000000005,20.896305,19.132256,5.104557,12.101266,8.488254,61.048579
BOLA2B,187.429261,73.532074,253.046984,219.563649,87.776487,163.378508,90.128294,123.986767,27.226504,87.713381,43.79628,66.06943799999999
BOLA2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOLA2P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOLA2P3,0.591417,0.466956,4.615322,0.0,1.016192,0.0,0.0,0.0,0.228709,0.0,0.0,0.0
BOLA3,10.468293,10.454023,17.881898,15.268851,7.788235,6.046178,10.937854,12.988125,3.112492,9.237047,3.400665,13.206257
BOLA3-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOLA3P1,0.0,0.0,0.0,0.0,0.0,0.0,0.119845,0.0,0.0,0.0,0.0,0.0
BOLA3P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOLA3P3,0.0,0.0,0.861709,0.0,0.0,0.0,0.0,0.0,0.0,1.393972,0.0,0.0
BOLA3P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOLL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOP1,8.052073,11.52858,14.204595,9.782034,9.078358,7.992423,7.971621000000001,13.674845,3.293928,6.969161,6.209281000000001,9.578031
BORA,1.651383,0.472425,1.5509179999999998,1.257469,0.318112,1.379661,1.607663,1.129723,0.320683,2.333854,0.854303,15.855914
BORCS5,10.144684,10.777253,7.051426,15.971682,8.258686,10.573291,8.684035000000002,13.992598,12.689196,10.589447,6.149507,19.020152
BORCS6,0.290522,0.326866,0.209911,0.449614,0.306269,0.469506,0.431558,0.700886,0.434518,0.706876,1.180131,0.0
BORCS7,4.427818,8.528702,0.919934,2.885221,2.533376,0.7745169999999999,3.500264,0.715092,6.091622,7.093468,2.596562,20.089673
BORCS7-ASMT,0.173564,0.801563,0.096708,0.912138,0.029012,0.0,0.170783,1.340047,0.546343,0.096942,0.086431,0.0
BORCS8,3.25158,9.891272,2.836194,3.699912,1.191634,3.191501,7.406297,1.85437,3.211594,2.710433,4.222700000000001,10.425739
BORCS8-MEF2B,4.477706,5.903184,3.344159,5.148588,3.1350830000000003,7.038871,4.64088,7.145824,5.555436,5.205993,0.329473,4.655025
BORCS8P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPESC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPGM,6.054156,8.318115,6.484798,5.522607,4.1006860000000005,3.831171,7.959085999999999,4.718482000000001,2.118822,8.052561,19.815406,3.858267
BPHL,6.166411999999999,10.445858,3.988918,5.995654,4.384708,10.220506,7.520938,8.88106,5.104353,8.235962,0.810935,18.881277
BPI,0.0,0.136054,0.0,0.0,0.0,0.0,0.0,0.0,0.576365,0.872557,0.0,0.0
BPIFA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPIFA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPIFA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025154,0.0,0.0,0.0,0.0
BPIFA4P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPIFB1,37.770866,2.463028,0.468123,0.830783,1.498597,0.5842,1.03897,6.880854,0.534252,1.712146,0.0,0.0
BPIFB2,0.831837,0.192577,3.498475,1.106378,0.059614,0.702373,3.133042,0.514638,0.015064,0.113059,0.0,0.0
BPIFB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPIFB4,0.0,0.0,0.0,0.025936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPIFB5P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
