index,Pt1-baseline,Pt2-baseline,Pt3-baseline,Pt4-baseline,Pt5-baseline,Pt6-baseline,Pt8-baseline,Pt9-baseline,Pt10-baseline,Pt15-baseline,Pt16-baseline,Pt17-baseline,Pt18-baseline,Pt19-baseline,Pt20-baseline,Pt23-baseline,Pt24-baseline
MAGT1,28.1724,42.10085,25.9442,23.5867,11.8058,24.18783333,18.30115,19.39975,10.96845,28.25675,23.23603333,63.6644,33.3604,19.6298,22.17135,10.97955,22.6282
MAK,0.106892,0.0624191,0.04971685,0.1138695,0.02716545,0.033343067,0.140924,0.127107,0.02153805,0.07906015,0.193935667,0.133163733,0.0377156,0.07406975,0.0477514,0.024793845,0.152472
MAK16,12.9108,7.646295,9.77335,6.275325,1.75896,6.20826,5.648375,23.0051,1.711965,7.04735,2.766233333,12.2627,6.44495,5.474235,9.64395,1.4776,24.81815
MAL,48.74805,2.158555,1.40295,10.23787,153.682,0.112978767,2.877195,0.711978,14.7544,3.105605,328.9556667,17.17573333,1.33338,7.805755,0.8073475,171.3065,0.470121
MAL2,0.2044335,0.0,16.86565,5.82966,1.990685,0.466935,41.32805,1.80411,17.4787,0.21304105,0.056747133,0.269507333,0.0152575,0.0508486,0.0,0.02282485,14.45935
MALAT1,15.72735,3.40196,21.41285,3.31431,0.2743965,9.15231,13.0168,9.427785,0.4544485,12.09755,2.56338,4.596826667,27.4895,17.48635,3.59409,0.8537615,18.86145
MALL,0.721464,2.26309,7.456165,5.96785,8.71879,2.412416667,16.8018,1.218945,34.4449,0.9396695,2.63607,3.258576667,9.03613,4.43295,3.362195,5.160895,1.30069
MALSU1,34.43585,43.73915,56.9252,69.5715,79.07465,47.8134,45.73735,54.44645,42.6958,28.4269,64.56446667,39.95333333,40.34,45.99115,39.61715,33.09125,65.1344
MALT1,4.41779,2.917035,5.443115,3.75962,1.079395,4.224756667,6.570675,3.812255,2.47611,4.792115,2.01104,8.381656667,1.76502,3.433575,7.224925,1.177405,3.98575
MAMDC2,0.3475505,0.409761,0.606101,0.5010275,0.190919,0.282009,0.2565665,1.351035,0.592913,0.274062,0.237199667,0.746331333,5.35675,1.04762,0.0976703,0.0146962,1.662565
